IID,projection
2948423,-0.15536039923644362
3401792,-0.1347227381567912
4741853,-0.13361727207750745
3816649,-0.13024577289203867
1908139,-0.12334186090363967
3211681,-0.12114839219002949
1354472,-0.11912321241490956
1176897,-0.11894012968812834
2417528,-0.1155884359485913
3498677,-0.1151954839099745
5461674,-0.11132784554302584
3711403,-0.11100415125991268
1379808,-0.10990874296962694
4665787,-0.10985866437232705
1225724,-0.10956019604549615
2515483,-0.10954177512265914
3292964,-0.10949742860586349
3080566,-0.10948178858784896
5508533,-0.10943666039886824
2721613,-0.10915520175758009
5129392,-0.10905950173950746
5494950,-0.10894146631247816
3126977,-0.10874253283454782
3112328,-0.10867752842472651
3722720,-0.10857521629902253
3590476,-0.10798975637241685
3709865,-0.10789619400867854
5134731,-0.10778054424341552
5504687,-0.1077308767594027
4975265,-0.1074430994680368
3816146,-0.1073925280705365
3237467,-0.10728476939340167
5478635,-0.106753981049037
2515432,-0.10666857651676177
5973445,-0.10660797942846253
4999920,-0.1063320097200964
5807766,-0.10601294876008459
3981565,-0.10596495334810963
3258989,-0.10592018036832776
4877062,-0.10577018240027125
5652126,-0.10567585460585006
5237398,-0.10520251745735562
3670842,-0.10500762513481854
1230706,-0.10484805742253515
4271068,-0.10416284750687904
4036356,-0.10413715417756493
3744826,-0.1040604535533754
1563000,-0.10374784730366998
1332887,-0.10365384240026089
4493386,-0.10361505112375802
4854587,-0.10311120061123386
1730003,-0.10275321313209991
3771017,-0.10273845702065598
2189590,-0.10260228268667965
4938051,-0.10253004682125304
3154400,-0.10241587306175474
5248916,-0.10233247635076342
3390702,-0.10209943501473928
3539946,-0.10194245585508796
2273101,-0.10187419620844583
3761401,-0.10185658387021396
5863335,-0.10174242338403633
5234380,-0.1015013388154582
2298245,-0.10146078174900787
3873900,-0.1014008594533476
2827637,-0.10139275639963109
1455965,-0.10120999693284224
4076847,-0.10119150402642704
2337851,-0.10116672551522272
1480093,-0.10110068124198159
2962809,-0.10087953275523913
5634036,-0.10081011990176782
2169402,-0.10072896008265077
1047612,-0.10066178599236784
1425455,-0.10035042649111447
1718964,-0.10015769511505383
4964022,-0.10012285416427445
3459741,-0.1000662665899847
3823849,-0.09992461812724644
1567488,-0.09987461301715664
3234780,-0.09966594492830289
4890812,-0.09964382509991519
5033438,-0.09961311346562772
3428296,-0.09949657519426365
4791075,-0.09948080098361943
2219278,-0.09908398659834819
1216671,-0.09896264074976575
3873614,-0.09892906344254702
4183422,-0.09868276604340868
1136783,-0.09864190395582505
3835598,-0.09863966997220329
1811931,-0.09837249611466006
4677998,-0.09830804490019346
4687697,-0.09811352524647339
2411221,-0.09756724260191259
3015140,-0.09743756030842324
2080471,-0.0974125716887685
4150359,-0.0970593281590666
5402991,-0.0969764143150521
4544342,-0.09694426934629677
4861321,-0.09693787291793264
2087687,-0.09678643215265594
1621166,-0.09677949111673344
1266334,-0.09668020318429565
4790883,-0.09635302892101252
1868534,-0.09624876048265846
3117803,-0.09619907972904114
3513013,-0.09615012357681299
3333583,-0.09602898151457634
3265298,-0.09595511708546237
4930421,-0.0957955076352961
2032101,-0.09575842850926858
2905675,-0.09559153266992795
3050040,-0.09558619347588992
3152576,-0.09538388600801313
3654405,-0.0953287804161206
4404645,-0.09526186792812802
2057954,-0.09525162266400548
4120740,-0.09519687641444749
1715213,-0.09496616699964372
5050140,-0.09491554570448156
1061436,-0.09481509908697615
2995544,-0.09466066574561348
3150473,-0.09452680447548799
5451607,-0.0944150073713198
5181916,-0.09430385710728814
2982448,-0.09415298716069413
5686131,-0.0940268136942385
3112344,-0.09399184240676109
2074399,-0.09380290173454205
1314266,-0.09344023327570176
4105176,-0.09334767827292756
1213844,-0.09316483745209068
2161748,-0.09310446016507014
4063172,-0.09305333113269802
4932853,-0.09303250926439662
4042252,-0.09300167773921718
4299202,-0.09295202060034977
4511846,-0.09283179911671101
3681611,-0.092716553909623
3355677,-0.09263144652463533
4482454,-0.09262085176865388
1020492,-0.0925243449496897
1750095,-0.09226855845025342
2498107,-0.09226121084536962
3273125,-0.09221778031124045
4761181,-0.0922118758446601
1342448,-0.09219197786322963
2745302,-0.09212942787327015
2716198,-0.09202692809142449
4975894,-0.09197845709887327
3347638,-0.09196039255784842
1253906,-0.09191211052487487
5900350,-0.09182906551288778
3172252,-0.09170947264144373
1029235,-0.09166572906234581
1968807,-0.09159257512498381
2413181,-0.09154459921937542
2684829,-0.09139227322045532
3613428,-0.09138232992835515
1008147,-0.0913523706924475
3590993,-0.09132995740651088
3338470,-0.09131910217286247
3229806,-0.0912870139896283
3568509,-0.09124985942399519
2071464,-0.09124557403295111
3894001,-0.09110870919687342
3828351,-0.09107668675096994
4086345,-0.09097230808703101
2143252,-0.09092779580937697
5278476,-0.09087189982637289
5284741,-0.09087109354582555
5829044,-0.09082554836316784
1364718,-0.0907083229120969
4948479,-0.0904416807725606
5254638,-0.09040969192640835
3026220,-0.09030946366716094
1874752,-0.09026573576661308
5580611,-0.0901979113539407
1922792,-0.09019444282634544
4603041,-0.09009107183064184
1508100,-0.09008442009100025
1774556,-0.08991802350917172
2447122,-0.08988066574495046
2993543,-0.08986244167241793
1593651,-0.08982006737916516
2417572,-0.08980022420014803
3692361,-0.08975440473743171
3807429,-0.08974843835005682
5355449,-0.08969230767543657
3797129,-0.08967100721018371
4058486,-0.0896582057175207
1099553,-0.08963952385483172
5450353,-0.08961855543306078
3591733,-0.08955991849407723
5801296,-0.08946284952958235
1245109,-0.08941890342223575
3143763,-0.0893835121781592
1473890,-0.08935602921301404
2641064,-0.08935197179673442
3438896,-0.0893504243962217
1167213,-0.08933344387859973
2489504,-0.08932665931232003
2830945,-0.08925488871490442
1602091,-0.08924664506227842
4837268,-0.08922843837195182
1893369,-0.08920022970329537
2617002,-0.08897057812132228
3472101,-0.08892246906799968
4365233,-0.08891183738741108
4348066,-0.08886985704603753
3096659,-0.0886110881605071
1791559,-0.08860785553689812
4380199,-0.08859934308182836
4141370,-0.08859246253741737
3541091,-0.08856614116714451
2552706,-0.08854596456730546
3275200,-0.08854340199053953
3803949,-0.08827578267605145
3794401,-0.08827461598602247
